period_end,county,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_ppsf,median_list_price,homes_sold,homes_sold_mom,homes_sold_yoy,median_dom,daily_cases,percentage_fully_vaccinated,risk_index,risk,cost_of_living_rank,tax_burden,medianage
2021-10-31,Mahnomen County,Minnesota,MN,All Residential,-1,135000.0,-0.564516129032258,100.44642857142856,,1.0,0.0,-0.5,159.0,1646.0,0.582,5.0,Extreme,6.0,9.99,38.0
2021-10-31,Calhoun County,Arkansas,AR,All Residential,-1,135000.0,,65.91796875,,1.0,,,202.0,896.0,0.367,3.0,Critical,20.0,8.8,38.0
2021-10-31,Neshoba County,Mississippi,MS,All Residential,-1,75000.0,-0.4094488188976378,83.70535714285715,99000.0,1.0,0.0,,47.0,10363.0,0.403,5.0,Extreme,15.0,8.99,38.0
2021-10-31,McMullen County,Texas,TX,All Residential,-1,160000.0,,178.57142857142858,,1.0,,,67.0,166.0,0.454,3.0,Critical,30.0,8.19,35.0
2021-10-31,Lee County,Mississippi,MS,All Residential,-1,292325.0,,136.28205128205127,,2.0,,,226.0,26296.0,0.429,3.0,Critical,15.0,8.99,38.0
2021-10-31,Coffee County,Georgia,GA,All Residential,-1,136000.0,-0.0285714285714285,108.97435897435898,,1.0,0.0,,31.0,10616.0,0.365,3.0,Critical,35.0,7.91,37.0
2021-10-31,Oktibbeha County,Mississippi,MS,All Residential,-1,154000.0,-0.51875,110.0,,1.0,0.0,,63.0,10999.0,0.507,3.0,Critical,15.0,8.99,38.0
2021-10-31,Pike County,Mississippi,MS,All Residential,-1,112000.0,,59.41644562334218,,1.0,,,635.0,9388.0,0.494,3.0,Critical,15.0,8.99,38.0
2021-10-31,Hudspeth County,Texas,TX,All Residential,-1,221250.0,-0.1216229628600353,84.68032156349011,,2.0,0.0,,72.0,967.0,0.67,3.0,Critical,30.0,8.19,35.0
2021-10-31,Real County,Texas,TX,All Residential,-1,199500.0,-0.6882812499999998,211.7724867724868,684750.0,3.0,0.5,0.5,17.0,788.0,0.494,3.0,Critical,30.0,8.19,35.0
2021-10-31,Norman County,Minnesota,MN,All Residential,-1,180000.0,,138.88888888888889,,1.0,,,56.0,1461.0,0.594,3.0,Critical,6.0,9.99,38.0
2021-10-31,Irwin County,Georgia,GA,All Residential,-1,109500.0,,51.77088202509798,,2.0,,,68.0,1866.0,0.36,3.0,Critical,35.0,7.91,37.0
2021-10-31,Johnson County,Tennessee,TN,All Residential,-1,230000.0,,153.33333333333334,,1.0,,,420.0,4970.0,0.366,3.0,Critical,49.0,5.74,39.0
2021-10-31,Lawrence County,Mississippi,MS,All Residential,-1,249900.0,,90.15151515151516,,1.0,,,71.0,3547.0,0.544,3.0,Critical,15.0,8.99,38.0
2021-10-31,Woodward County,Oklahoma,OK,All Residential,-1,20737.0,-0.3087666666666666,11.172952586206897,,1.0,0.0,,279.0,5101.0,0.374,3.0,Critical,44.0,7.13,37.0
2021-10-31,Jim Wells County,Texas,TX,All Residential,-1,177000.0,,95.34062247662516,175000.0,2.0,,,197.0,10944.0,0.53,3.0,Critical,30.0,8.19,35.0
2021-10-31,Sherman County,Oregon,OR,All Residential,-1,350000.0,,383.7719298245614,135000.0,1.0,,,5998.0,308.0,0.572,3.0,Critical,27.0,8.29,39.0
2021-11-30,Union County,Mississippi,MS,All Residential,-1,1145000.0,,163.57142857142858,,1.0,,,115.0,9377.0,0.386,3.0,Critical,15.0,8.99,38.0
2021-11-30,Monroe County,Arkansas,AR,All Residential,-1,138500.0,-0.1681681681681681,79.6561124231027,125000.0,2.0,0.0,0.0,88.0,1905.0,0.547,3.0,Critical,20.0,8.8,38.0
2021-11-30,Mitchell County,Georgia,GA,All Residential,-1,53000.0,,43.12449145646868,139000.0,1.0,,,92.0,5167.0,0.466,2.0,High,35.0,7.91,37.0
2021-11-30,Bowie County,Texas,TX,All Residential,-1,235000.0,-0.1030534351145038,90.59367771781032,175000.0,1.0,-0.5,-0.909090909090909,82.0,19272.0,0.388,3.0,Critical,30.0,8.19,35.0
2021-11-30,Carroll County,Tennessee,TN,All Residential,-1,80000.0,-0.4666666666666666,20.075282308657467,,1.0,0.0,,12.0,8716.0,0.477,3.0,Critical,49.0,5.74,39.0
