period_end,county,state,state_code,median_ppsf,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
2023-12-31,Taylor County,Georgia,GA,62.800733992240666,7.91,37.0,35.0,10,1,6,1983.0,45.6,1.0,Medium
2023-12-31,Lake County,Ohio,OH,128.33169555664062,8.96,39.0,16.0,2,2,5,49028.0,65.4,2.0,High
2023-12-31,Shoshone County,Idaho,ID,146.80205467555618,7.88,36.0,36.0,9,2,10,2734.0,43.0,1.0,Medium
2023-12-31,Perry County,Ohio,OH,117.38792419433594,8.96,39.0,16.0,4,5,6,8302.0,40.9,1.0,Medium
2023-12-31,Comal County,Texas,TX,216.397179107666,8.19,35.0,30.0,3,9,2,34021.0,62.1,2.0,High
2023-12-31,Bucks County,Pennsylvania,PA,213.5416717529297,8.46,41.0,23.0,7,3,4,123614.0,62.9,2.0,High
2023-12-31,Sawyer County,Wisconsin,WI,179.7568359375,8.89,40.0,17.0,2,8,10,4560.0,60.0,1.0,Medium
2023-12-31,Henderson County,Tennessee,TN,111.57883972167969,5.74,39.0,49.0,9,10,6,9124.0,41.4,1.0,Medium
2023-12-31,El Dorado County,California,CA,335.5834741470366,9.48,37.0,10.0,4,8,3,30014.0,60.7,1.0,Medium
2023-12-31,Sequoyah County,Oklahoma,OK,94.88474219052024,7.13,37.0,44.0,2,5,3,10622.0,40.3,1.0,Medium
2023-12-31,Boone County,Iowa,IA,135.9189453125,9.26,38.0,13.0,9,10,4,5463.0,64.5,2.0,High
2023-12-31,Kane County,Utah,UT,224.2754461669922,8.29,31.0,27.0,6,9,7,1331.0,50.0,1.0,Medium
2023-12-31,Jackson County,Oregon,OR,256.05905214395574,8.29,39.0,27.0,10,3,2,42780.0,58.1,1.0,Medium
2023-12-31,Clay County,Florida,FL,167.32070861816408,6.97,42.0,45.0,4,4,8,53462.0,54.0,0.0,Low
2023-12-31,Quitman County,Mississippi,MS,18.873623921304315,8.99,38.0,15.0,10,7,1,1574.0,53.900000000000006,2.0,High
2023-12-31,Pendleton County,Kentucky,KY,98.62312960320014,8.58,39.0,22.0,1,3,3,3478.0,44.1,1.0,Medium
2023-12-31,Van Buren County,Arkansas,AR,88.83078002929688,8.8,38.0,20.0,10,9,7,3467.0,41.8,1.0,Medium
2023-12-31,Winnebago County,Illinois,IL,93.72224426269533,9.52,38.0,9.0,3,10,10,76659.0,58.1,2.0,High
2023-12-31,Pittsburg County,Oklahoma,OK,100.26806640625,7.13,37.0,44.0,3,3,9,10764.0,45.3,0.0,Low
2023-12-31,Polk County,Arkansas,AR,87.17919921875,8.8,38.0,20.0,9,9,10,4146.0,35.5,0.0,Low
2023-12-31,Grant County,Arkansas,AR,111.23105442657834,8.8,38.0,20.0,1,5,4,4462.0,45.8,1.0,Medium
2023-12-31,Watauga County,North Carolina,NC,285.91015625,8.07,39.0,34.0,9,6,6,12283.0,56.10000000000001,2.0,High
2023-12-31,Clinton County,Illinois,IL,97.8443719489842,9.52,38.0,9.0,1,7,2,11969.0,59.7,1.0,Medium
2023-12-31,Kent County,Rhode Island,RI,200.3147735595703,9.69,40.0,8.0,4,4,2,48865.0,78.3,3.0,Critical
2023-12-31,Colquitt County,Georgia,GA,80.18597202954334,7.91,37.0,35.0,3,9,5,11725.0,40.1,1.0,Medium
2023-12-31,Tarrant County,Texas,TX,169.5460968017578,8.19,35.0,30.0,2,3,1,566096.0,56.39999999999999,1.0,Medium
2023-12-31,Sherman County,Oregon,OR,65.9456596238612,8.29,39.0,27.0,8,6,10,318.0,57.8,1.0,Medium
2023-12-31,Kiowa County,Oklahoma,OK,57.483314990997314,7.13,37.0,44.0,4,2,3,1957.0,51.1,1.0,Medium
2023-12-31,Jackson County,Minnesota,MN,78.29935764312744,9.99,38.0,6.0,4,8,3,2142.0,50.9,1.0,Medium
2023-12-31,Fayette County,Pennsylvania,PA,95.79056761451294,8.46,41.0,23.0,1,3,9,31052.0,54.0,1.0,Medium
2023-12-31,Sharp County,Arkansas,AR,89.87751007080078,8.8,38.0,20.0,5,6,9,4632.0,38.8,1.0,Medium
2023-12-31,Marion County,Arkansas,AR,111.711445819833,8.8,38.0,20.0,10,4,3,3388.0,36.0,1.0,Medium
2023-12-31,Essex County,Massachusetts,MA,314.0578308105469,8.77,40.0,21.0,4,7,3,206639.0,73.8,2.0,High
2023-12-31,Schoharie County,New York,NY,106.177734375,12.79,39.0,1.0,2,5,7,5065.0,56.89999999999999,2.0,High
2023-12-31,Gonzales County,Texas,TX,137.08642983084064,8.19,35.0,30.0,3,7,10,4487.0,49.3,0.0,Low
2023-12-31,Madison County,Illinois,IL,96.66971654772652,9.52,38.0,9.0,5,7,4,70413.0,62.1,1.0,Medium
2023-12-31,Audubon County,Iowa,IA,49.22837146361163,9.26,38.0,13.0,10,1,3,1102.0,58.3,1.0,Medium
2023-12-31,Blanco County,Texas,TX,257.6982421875,8.19,35.0,30.0,7,8,3,2536.0,57.1,1.0,Medium
2023-12-31,Strafford County,New Hampshire,NH,210.828842163086,6.84,43.0,46.0,4,3,10,29475.0,,3.0,Critical
2023-12-31,Clackamas County,Oregon,OR,285.0810771683534,8.29,39.0,27.0,10,1,2,60494.0,68.7,2.0,High
2023-12-31,Lake of the Woods County,Minnesota,MN,86.2171859741211,9.99,38.0,6.0,2,8,7,765.0,55.3,1.0,Medium
2023-12-31,Dyer County,Tennessee,TN,88.26960760557843,5.74,39.0,49.0,4,6,1,12792.0,40.3,1.0,Medium
2023-12-31,Lamar County,Mississippi,MS,113.56010057387904,8.99,38.0,15.0,7,2,3,17362.0,59.4,2.0,High
2023-12-31,Frederick County,Maryland,MD,197.7208499659096,9.32,39.0,12.0,3,4,2,45780.0,78.4,2.0,High
2023-12-31,Idaho County,Idaho,ID,168.03884887695312,7.88,36.0,36.0,8,7,9,2987.0,30.7,1.0,Medium
2023-12-31,Ellis County,Texas,TX,169.6392822265625,8.19,35.0,30.0,6,2,3,48803.0,54.1,1.0,Medium
2023-12-31,Preble County,Ohio,OH,114.49579620361328,8.96,39.0,16.0,9,5,1,9455.0,43.1,0.0,Low
2023-12-31,Lake County,Florida,FL,183.2549285888672,6.97,42.0,45.0,2,6,7,84888.0,65.8,1.0,Medium
2023-12-31,Goliad County,Texas,TX,120.35884172343368,8.19,35.0,30.0,7,5,3,1200.0,42.7,2.0,High
2023-12-31,Clarke County,Mississippi,MS,196.0877191580148,8.99,38.0,15.0,2,8,7,4230.0,56.8,1.0,Medium
2023-12-31,Coconino County,Arizona,AZ,330.4298147316637,8.19,38.0,30.0,9,1,1,43547.0,76.7,2.0,High
2023-12-31,Pinal County,Arizona,AZ,201.8218212266366,8.19,38.0,30.0,2,9,10,132325.0,53.7,3.0,Critical
